Team1ID,Team2ID,Outcome
1328_2003,1104_2003,False
1272_2003,1393_2003,True
1437_2003,1266_2003,False
1296_2003,1457_2003,True
1208_2003,1400_2003,False
1458_2003,1186_2003,True
1236_2003,1161_2003,False
1457_2003,1186_2003,False
1156_2003,1194_2003,False
1458_2003,1296_2003,True
1166_2003,1426_2003,True
1202_2003,1106_2003,True
1237_2003,1135_2003,True
1125_2003,1323_2003,False
1125_2003,1135_2003,True
1236_2003,1156_2003,False
1194_2003,1161_2003,False
1166_2003,1202_2003,True
1129_2003,1183_2003,False
1314_2003,1336_2003,True
1237_2003,1323_2003,False
1162_2003,1353_2003,False
1390_2003,1131_2003,True
1426_2003,1106_2003,True
1462_2003,1389_2003,True
1156_2003,1161_2003,False
1236_2003,1194_2003,False
1196_2003,1256_2003,True
1221_2003,1242_2003,False
1447_2003,1422_2003,False
1353_2003,1314_2003,False
1462_2003,1390_2003,False
1196_2003,1183_2003,True
1304_2003,1147_2003,True
1106_2003,1104_2003,False
1287_2003,1113_2003,False
1116_2003,1238_2003,True
1369_2003,1117_2003,False
1459_2003,1120_2003,False
1122_2003,1272_2003,True
1123_2003,1240_2003,True
1133_2003,1337_2003,True
1236_2003,1139_2003,False
1140_2003,1405_2003,True
1206_2003,1141_2003,False
1389_2003,1148_2003,False
1150_2003,1253_2003,True
1359_2003,1151_2003,False
1441_2003,1157_2003,False
1158_2003,1149_2003,True
1142_2003,1160_2003,False
1138_2003,1165_2003,False
1179_2003,1194_2003,True
1292_2003,1187_2003,False
1191_2003,1227_2003,True
1200_2003,1456_2003,True
1212_2003,1207_2003,False
1211_2003,1220_2003,True
1193_2003,1217_2003,False
1114_2003,1218_2003,False
1219_2003,1319_2003,True
1232_2003,1464_2003,True
1241_2003,1202_2003,True
1242_2003,1422_2003,True
1247_2003,1174_2003,True
1171_2003,1250_2003,False
1258_2003,1260_2003,True
1311_2003,1261_2003,False
1159_2003,1265_2003,False
1266_2003,1164_2003,True
1267_2003,1310_2003,True
1421_2003,1277_2003,False
1281_2003,1110_2003,True
1416_2003,1298_2003,False
1291_2003,1301_2003,False
1308_2003,1410_2003,True
1317_2003,1283_2003,True
1320_2003,1285_2003,True
1271_2003,1321_2003,False
1137_2003,1323_2003,False
1328_2003,1414_2003,True
1463_2003,1329_2003,False
1169_2003,1340_2003,False
1343_2003,1444_2003,True
1345_2003,1275_2003,True
1318_2003,1348_2003,False
1408_2003,1349_2003,False
1347_2003,1350_2003,False
1352_2003,1282_2003,True
1365_2003,1334_2003,True
1107_2003,1373_2003,False
1375_2003,1380_2003,True
1379_2003,1108_2003,True
1382_2003,1439_2003,True
1224_2003,1384_2003,False
1168_2003,1394_2003,False
1358_2003,1395_2003,False
1397_2003,1205_2003,True
1423_2003,1403_2003,False
1387_2003,1404_2003,False
1128_2003,1412_2003,False
1425_2003,1415_2003,True
1226_2003,1427_2003,False
1428_2003,1381_2003,True
1368_2003,1435_2003,False
1185_2003,1436_2003,False
1437_2003,1180_2003,True
1254_2003,1438_2003,False
1451_2003,1364_2003,True
1175_2003,1452_2003,False
1443_2003,1112_2003,False
1124_2003,1108_2003,True
1127_2003,1248_2003,True
1131_2003,1162_2003,True
1243_2003,1140_2003,False
1143_2003,1307_2003,True
1145_2003,1126_2003,True
1399_2003,1153_2003,False
1163_2003,1346_2003,True
1177_2003,1296_2003,True
1132_2003,1178_2003,False
1181_2003,1119_2003,True
1185_2003,1159_2003,True
1361_2003,1186_2003,False
1198_2003,1289_2003,True
1125_2003,1208_2003,False
1299_2003,1209_2003,False
1210_2003,1115_2003,True
1148_2003,1219_2003,False
1225_2003,1333_2003,True
1226_2003,1164_2003,True
1252_2003,1233_2003,False
1240_2003,1364_2003,True
1257_2003,1102_2003,True
1259_2003,1288_2003,True
1266_2003,1427_2003,True
1189_2003,1273_2003,False
1274_2003,1306_2003,True
1389_2003,1319_2003,False
1343_2003,1328_2003,False
1335_2003,1336_2003,True
1182_2003,1338_2003,False
1222_2003,1341_2003,False
1344_2003,1135_2003,True
1351_2003,1284_2003,True
1305_2003,1360_2003,False
1371_2003,1362_2003,True
1276_2003,1382_2003,False
1386_2003,1130_2003,True
1392_2003,1357_2003,True
1400_2003,1372_2003,True
1409_2003,1308_2003,True
